Clifton Springs,-38.156521747,144.569275885,1055
Colac,-38.341003810,143.583013785,1033
Greenvale,-37.641621192,144.895810683,1031
Mernda,-37.603321637,145.088722453,1030
Moe,-38.183409083,146.256464455,1024
Taylors Lakes,-37.699343890,144.789133855,1023
Templestowe Lower,-37.765154870,145.112969599,1022
Ascot Vale,-37.776554140,144.915903108,1014
Cranbourne East,-38.105812123,145.304467369,1014
Blairgowrie,-38.368104498,144.774764233,1011
Taylors Hill,-37.715074858,144.753515093,1008
Footscray,-37.796874511,144.893372296,997
Hastings,-38.304520439,145.180342100,996
Geelong West,-38.139326681,144.343626310,993
Moonee Ponds,-37.765766670,144.919273410,989
Altona,-37.865245667,144.821042648,984
Vermont,-37.838411668,145.199340615,984
Wendouree,-37.529723472,143.830827357,977
Ringwood East,-37.812789912,145.253639679,972
Melton South,-37.706769890,144.572795896,971
Sunshine North,-37.767604941,144.834553495,964
Dingley Village,-37.980487376,145.127963007,961
Port Melbourne,-37.836831152,144.937762263,959
Sanctuary Lakes,-37.894461060,144.767074237,957
Vermont South,-37.854419300,145.185481931,948
Meadow Heights,-37.650741768,144.918435347,946
Altona North,-37.835479740,144.851022367,935
Caulfield South,-37.894575817,145.024858230,923
Portland,-38.347639801,141.600450428,920
Box Hill North,-37.805505387,145.129654250,917
Fawkner,-37.705343430,144.968948352,917
Hampton,-37.937403253,145.010805541,917
Kangaroo Flat,-36.798844476,144.237252174,917
Gisborne,-37.492234481,144.593539819,916
Bayswater,-37.847741672,145.260277449,913
Forest Hill,-37.838760515,145.171916267,913
Doveton,-37.989596807,145.239687317,910
Chirnside Park,-37.752802281,145.316684478,907
Inverloch,-38.633001120,145.722692962,907
Hallam,-38.005584620,145.273514238,906
Norlane,-38.090201186,144.353307047,904
Kurunjang,-37.664408882,144.589939785,898
Ringwood North,-37.795219590,145.230038088,898
Kilsyth,-37.804878906,145.317775964,896
Toorak,-37.842279156,145.016436792,885
Hawthorn East,-37.830441894,145.049873773,884
Broadmeadows,-37.684542263,144.925508791,883
Skye,-38.109807018,145.197358144,871
Nunawading,-37.816441138,145.176832006,867
West Footscray,-37.797632870,144.871076448,858
Cranbourne West,-38.100745552,145.257419677,857
Gladstone Park,-37.689678878,144.892353639,856
Caulfield North,-37.871675724,145.020862835,855
Montmorency,-37.719415312,145.125731514,855
Upwey,-37.906883224,145.329610600,855
Alfredton,-37.554129749,143.798970667,849
Blackburn South,-37.839214693,145.147183084,849
Heathmont,-37.829980889,145.243259201,844
Golden Square,-36.773038188,144.249757578,843
Donvale,-37.791237362,145.185986069,842
Castlemaine,-37.064808382,144.216997738,839
Highett,-37.949843371,145.037126660,836
Macleod,-37.721936392,145.073435790,831
Mount Evelyn,-37.786334037,145.381142151,831
Keilor East,-37.741736385,144.865936004,819
Patterson Lakes,-38.070222264,145.142617562,811
Wallan,-37.411674531,144.975293388,807
Frankston North,-38.121206777,145.156119673,802
Kyneton,-37.245260081,144.456106715,798
Benalla,-36.553781420,145.978029114,795
Malvern,-37.857705125,145.035593290,787
Pascoe Vale South,-37.744387788,144.938981751,787
Fitzroy North,-37.783897404,144.983448880,784
Sebastopol,-37.596872121,143.837856370,777
South Yarra,-37.840936881,144.992337558,775
Ararat,-37.282429741,142.927581643,771
Beaconsfield,-38.047317691,145.377349521,771
Bulleen,-37.770071883,145.092313854,771
Laverton,-37.857219143,144.772621495,756
Sydenham,-37.700679813,144.764941994,756
Safety Beach,-38.317360245,144.995072689,754
Leongatha,-38.478873061,145.950441054,750
Box Hill South,-37.836644959,145.121568406,749
Sandringham,-37.953109240,145.014626418,749
Elsternwick,-37.886268319,145.007659327,744
Avondale Heights,-37.761895939,144.861204710,738
East Geelong,-38.161796715,144.375797605,731
Clayton,-37.919726042,145.123365264,728
Warrandyte,-37.741433562,145.209348896,725
Kensington,-37.793429779,144.927368140,723
Parkdale,-37.991571508,145.082081165,723
Elwood,-37.880414648,144.985843595,722
Maryborough,-37.045434952,143.739046998,722
Strathmore,-37.733904699,144.916443432,722
Tootgarook,-38.378130477,144.849956139,722
Canterbury,-37.824156326,145.075813109,714
Burwood East,-37.853840493,145.149500839,710
Carnegie,-37.893828959,145.055377854,708
Maribyrnong,-37.777578974,144.890205267,707
Stawell,-37.059897711,142.776053157,707
Brookfield,-37.696662862,144.550584046,702
Emerald,-37.927556753,145.448590584,699
St Kilda East,-37.867960887,144.999734630,698
Hamlyn Heights,-38.122421319,144.327517929,697
Ivanhoe,-37.765738817,145.041242872,694
Croydon North,-37.771648600,145.282602649,683
Sorrento,-38.346656763,144.744807600,683
Portarlington,-38.118661753,144.651059123,680
Mentone,-37.981281948,145.070274617,679
Rosanna,-37.739788682,145.070172763,672
Delahey,-37.718099225,144.772348215,669
Brunswick West,-37.763136754,144.943358561,663
Ashburton,-37.867544455,145.080624483,661
Springvale South,-37.970730979,145.150654675,661
Lyndhurst,-38.067682793,145.247377622,655
Oakleigh South,-37.924111569,145.092162076,655
Maidstone,-37.784644719,144.875200237,652
Newborough,-38.182099476,146.291409101,651
Knoxfield,-37.886527304,145.248493086,645
Keilor Downs,-37.720617333,144.801487007,642
