Badger Creek,-37.68343919,145.5398379,461696,56,3700,12609,4083,60,18284,,,
Bagshot,-36.66149519,144.3932999,504000,7,8559,8292,13791,50,98406,,,
Bailieston,-36.76826475,145.0478808,302625,4,9661,29406,29021,50,71864,,,
Bairnsdale,-37.82316518,147.6165904,291181,1057,1031,2149,34259,80,200086,,,
Bakery Hill,-37.56490914,143.8665217,207250,4,361,292,1135,40,71224,,,
Balaclava,-37.87019381,144.9936559,928773,64,191,395,764,13,748,,,
Bald Hills,-37.435894,143.843388,530000,1,4677,11084,13520,40,58923,,,
Balintore,-38.28366748,143.5638688,325333,3,6759,6702,39848,40,56263,,,
Ballan,-37.5973961,144.2273007,414168,342,1304,20636,1346,40,20649,,,
Ballarat,-37.56204698,143.857922,431724,2479,999,1576,1885,40,71842,,,
Ballarat Central,-37.56260518,143.8510544,411168,170,527,1348,772,40,72262,,,
Ballarat East,-37.56457964,143.8804164,329682,299,1053,1297,2400,40,70526,,,
Ballarat North,-37.54098439,143.8681058,364735,339,1809,2352,2620,40,73289,,,
Ballarat West,-37.5445225,143.814428,722500,2,1779,1013,3869,40,75923,,,
Ballendella,-36.292506,144.647859,359000,2,8943,20148,19415,50,127956,,,
Balliang,-37.85404159,144.3494962,813333,3,17867,20063,21369,40,21819,,,
Balliang East,-37.7925976,144.4329204,525200,5,12527,13029,12854,40,13114,,,
Balmattum,-36.75573,145.686744,456000,1,10327,35170,35458,46,96305,,,
Balmoral,-37.24911492,141.8369753,671692,13,40919,57246,54632,40,243386,,,
Balnarring,-38.3693699,145.1224395,541278,293,915,9033,17129,93,15243,,,
Balnarring Beach,-38.39189031,145.1191139,829969,80,2086,11157,19420,93,17420,,,
Balook,-38.4460049,146.5798111,365000,1,14995,15621,27944,80,102935,,,
Balwyn,-37.80864742,145.0807268,1662516,1243,518,905,613,30,2008,,,
Balwyn North,-37.79286998,145.0854349,1335837,1939,490,1274,1177,30,1876,,,
Bamawm,-36.26083129,144.6014063,304933,15,14284,19784,19173,50,132417,,,
Bambra,-38.34867577,143.9579137,794556,9,12067,38622,22012,40,21215,,,
Bandiana,-36.13961573,146.9169457,765800,15,2275,2189,2360,60,3772,,,
Bangholme,-38.04847753,145.1798644,1035111,9,2593,4026,3916,58,4144,,,
Bannerton,-34.699773,142.787716,910000,1,12817,81194,39991,50,360291,,,
Bannockburn,-38.04898743,144.171396,633664,440,1041,1188,1445,40,17205,,,
Baranduda,-36.18482156,146.948469,488946,147,7210,7161,7298,60,9316,,,
Barfold,-37.08700833,144.5137225,698333,6,18809,18877,18814,50,54793,,,
Baringhup,-36.97705808,143.9704106,434667,12,8630,21834,8630,46,88030,,,
Barjarg,-36.910835,146.0081003,1573000,4,17518,40217,17788,57,116920,,,
Barkers Creek,-37.0165174,144.2363901,619852,27,5032,23275,4828,50,76175,,,
Barkly,-36.976665,143.222083,210000,1,42366,42911,52510,40,158049,,,
Barmah,-36.02302679,144.9651894,389500,18,22602,21580,22926,50,154501,,,
Barnadown,-36.66152585,144.5182642,373000,2,20356,18489,22469,50,92950,,,
Barnawartha,-36.10118071,146.6745586,297220,66,14148,17306,18341,57,17328,,,
Barnawartha North,-36.0735875,146.736302,492500,2,13189,13053,14303,57,13056,,,
Barongarook,-38.40733531,143.6025526,505792,12,7828,7882,36355,40,51195,,,
Barongarook West,-38.40749775,143.5697525,534000,4,7726,7805,39317,40,54054,,,
Barrabool,-38.1750487,144.2249771,581429,7,8389,7543,8875,40,7465,,,
Barramunga,-38.5802155,143.696933,507500,2,19581,28253,25018,40,47169,,,
Barrys Reef,-37.45499782,144.2942974,1144750,4,8185,18443,8185,46,27622,,,
Barwite,-36.97405139,146.2131023,1231000,7,13985,51277,14596,60,110836,,,
Barwon Downs,-38.47316068,143.7555786,468000,7,15471,20840,21195,40,38597,,,
Barwon Heads,-38.27341974,144.487724,780906,523,3162,3287,13126,40,14511,,,
Bass,-38.48398421,145.4707488,374357,14,9973,16712,38592,101,44779,,,
Baxter,-38.19597439,145.1568951,338073,227,755,863,3689,76,4105,,,
Bayles,-38.18168956,145.5752179,404342,19,6916,8066,14502,80,14058,,,
Baynton,-37.174811,144.708026,375000,1,11643,25606,11643,50,35636,,,
